"LOCATION","Country","REG_ID","Region","IND","Indicator","ISC11","Education ISCED level","GENDER","Gender","MEAS","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","AU1","New South Wales","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,72.427,,
"AUS","Australia","AU2","Victoria","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.528,,
"AUS","Australia","AU3","Queensland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,62.004,,
"AUS","Australia","AU4","South Australia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,63.354,,
"AUS","Australia","AU5","Western Australia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,69.845,,
"AUS","Australia","AU6","Tasmania","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.513,,
"AUS","Australia","AU7","Northern Territory","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,70.59,,
"AUS","Australia","AU8","Canberra Region ACT","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,64.085,,
"AUS","Australia","AU101","Capital Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,72.232,,
"AUS","Australia","AU103","Central West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,70.849,,
