,TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,unemp_n,UNEM_RA_15_MAX,UNEM_RA_15_MAX_SEXDIF,UNEM_RA_15_64,UNEM_RA_15_64_SEXDIF
0,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2001,2001,PER,Persons,0,Units,116058.0,5.2,2.5,6.3,2.5
1,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,120745.0,5.5,2.4,6.5,2.4
2,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2003,2003,PER,Persons,0,Units,100956.0,4.8,1.8,5.3,1.7
3,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2004,2004,PER,Persons,0,Units,101800.0,5.4,1.7,5.4,1.6
4,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2005,2005,PER,Persons,0,Units,89581.0,4.7,1.6,4.8,1.5
5,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2006,2006,PER,Persons,0,Units,77893.0,4.1,1.2,4.2,1.2
6,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2007,2007,PER,Persons,0,Units,80464.0,4.2,1.2,4.3,1.2
7,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2008,2008,PER,Persons,0,Units,99573.0,5.1,1.4,5.2,1.3
8,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2009,2009,PER,Persons,0,Units,133356.0,6.8,1.8,6.9,1.7
9,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2010,2010,PER,Persons,0,Units,147633.0,7.5,1.7,7.6,1.7
10,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2011,2011,PER,Persons,0,Units,150092.0,7.6,1.6,7.7,1.5
11,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2012,2012,PER,Persons,0,Units,183781.0,9.2,1.9,9.4,1.8
12,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2013,2013,PER,Persons,0,Units,208441.0,10.5,2.1,10.7,1.9
13,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2014,2014,PER,Persons,0,Units,225750.0,11.3,2.3,11.5,2.1
14,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2015,2015,PER,Persons,0,Units,204763.0,10.2,2.1,10.4,1.9
