,Unnamed: 0,Unnamed: 0.1,TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,unemp_n,UNEM_RA_15_MAX,UNEM_RA_15_MAX_SEXDIF,UNEM_RA_15_64,UNEM_RA_15_64_SEXDIF,POP_65M_SH,YOU_DEP_RA,ELD_DEP_RA,DEM_DEP_RA,SR_TOT_RA,SR_YOU_RA,SR_ELD_RA,KID_WOM_RA,POP_80M_SH,POP_TOT_GI,POP_65M_GI,ENRL_RATE_AGE_Y3T5,ENRL_RATE_AGE_Y6T14,ENRL_RATE_AGE_Y15T19,ENRL_RATE_AGE_Y20T29,ENRL_RATE_AGE_Y30T39,ENRL_RATE_AGE_Y40T64,ENRL_RATE_AGE_Y30T39_is_NA,UNEM_RA_15_MAX_is_NA,UNEM_RA_15_MAX_SEXDIF_is_NA,UNEM_RA_15_64_is_NA,UNEM_RA_15_64_SEXDIF_is_NA,POP_65M_SH_is_NA,YOU_DEP_RA_is_NA,ELD_DEP_RA_is_NA,DEM_DEP_RA_is_NA,SR_TOT_RA_is_NA,SR_YOU_RA_is_NA,SR_ELD_RA_is_NA,KID_WOM_RA_is_NA,POP_80M_SH_is_NA,POP_TOT_GI_is_NA,POP_65M_GI_is_NA,ENRL_RATE_AGE_Y3T5_is_NA,ENRL_RATE_AGE_Y6T14_is_NA,ENRL_RATE_AGE_Y15T19_is_NA,ENRL_RATE_AGE_Y20T29_is_NA,ENRL_RATE_AGE_Y40T64_is_NA
0,0,0,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2001,2001,PER,Persons,0,Units,116058.0,5.2,2.5,6.3,2.5,20.92,17.91,31.19,49.1,93.37,105.74,68.6,17.62,4.82,100.0,100.0,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,1,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,120745.0,5.5,2.4,6.5,2.4,21.26,18.11,31.89,50.0,93.3,105.59,68.9,17.85,5.04,99.8,101.5,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2,2,2,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2003,2003,PER,Persons,0,Units,100956.0,4.8,1.8,5.3,1.7,21.6,18.44,32.63,51.07,93.38,105.54,69.57,18.29,5.25,100.0,103.3,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3,3,3,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2004,2004,PER,Persons,0,Units,101800.0,5.4,1.7,5.4,1.6,21.83,18.54,33.1,51.64,93.54,105.56,70.26,18.46,5.36,100.8,105.2,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4,4,4,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2005,2005,PER,Persons,0,Units,89581.0,4.7,1.6,4.8,1.5,22.25,18.84,34.0,52.84,93.59,105.63,70.76,18.82,5.57,101.2,107.7,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,5,5,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2006,2006,PER,Persons,0,Units,77893.0,4.1,1.2,4.2,1.2,22.63,19.18,34.85,54.03,93.58,105.62,71.28,19.09,5.75,101.4,109.7,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6,6,6,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2007,2007,PER,Persons,0,Units,80464.0,4.2,1.2,4.3,1.2,22.9,19.46,35.48,54.94,93.58,105.62,71.62,19.5,5.96,101.6,111.2,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7,7,7,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2008,2008,PER,Persons,0,Units,99573.0,5.1,1.4,5.2,1.3,22.91,19.62,35.55,55.17,93.51,105.77,71.93,19.63,6.13,102.7,112.4,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
8,8,8,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2009,2009,PER,Persons,0,Units,133356.0,6.8,1.8,6.9,1.7,22.97,19.85,35.75,55.6,93.48,105.93,72.32,19.88,6.3,103.2,113.4,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9,9,9,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2010,2010,PER,Persons,0,Units,147633.0,7.5,1.7,7.6,1.7,23.12,20.09,36.11,56.2,93.39,105.96,72.78,20.15,6.5,103.4,114.3,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
10,10,10,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2011,2011,PER,Persons,0,Units,150092.0,7.6,1.6,7.7,1.5,23.21,20.23,36.34,56.57,93.22,106.09,73.12,20.25,6.77,103.4,114.8,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
11,11,11,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2012,2012,PER,Persons,0,Units,183781.0,9.2,1.9,9.4,1.8,23.48,20.41,36.95,57.36,93.18,105.74,73.45,20.26,6.98,103.3,115.9,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
12,12,12,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2013,2013,PER,Persons,0,Units,208441.0,10.5,2.1,10.7,1.9,23.76,20.59,37.57,58.16,93.24,105.76,73.99,20.35,7.13,103.7,117.7,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
13,13,13,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2014,2014,PER,Persons,0,Units,225750.0,11.3,2.3,11.5,2.1,24.07,20.58,38.23,58.81,93.73,106.22,74.71,20.13,7.26,105.2,121.0,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
14,14,14,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,T,Total,ALL,All regions,2015,2015,PER,Persons,0,Units,204763.0,10.2,2.1,10.4,1.9,24.47,20.6,39.07,59.67,93.7,106.16,75.22,19.91,7.48,104.9,122.7,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
